"","listing_id","03","04","05","06","07","09","10","12","08","11"
"147",605339,6,14,31,16,31,7,31,31,31,30
"148",607548,17,30,31,30,31,29,31,31,31,30
"149",608742,NA,NA,NA,16,16,26,23,31,31,11
"150",610675,17,30,31,30,31,29,31,31,31,30
"151",616027,17,30,31,30,31,29,31,31,31,30
"152",618576,NA,NA,NA,16,27,28,25,31,31,NA
"153",625566,17,30,31,30,31,29,31,31,31,30
"154",628394,13,27,18,4,NA,NA,NA,NA,NA,NA
"155",631737,17,30,31,30,31,29,31,31,31,30
"156",643471,17,30,31,30,31,29,31,31,31,30
"157",644656,17,30,31,17,NA,24,31,NA,NA,30
"158",655514,16,25,NA,19,31,19,20,NA,31,NA
"159",661255,17,23,18,22,15,25,19,15,23,22
"160",663761,17,30,31,30,31,29,31,31,31,30
"161",668753,17,30,31,21,31,23,31,NA,NA,30
"162",676566,13,29,31,30,17,14,16,28,16,16
"163",683208,17,30,31,30,31,29,31,31,31,30
"164",683969,17,30,31,30,31,29,31,31,31,30
"165",684564,NA,NA,NA,3,NA,1,NA,NA,NA,NA
"166",685152,NA,NA,NA,16,22,19,22,18,18,9
"167",688795,6,10,9,11,8,8,20,NA,NA,NA
"168",689099,17,30,31,30,31,29,31,31,31,30
"169",692358,11,22,18,18,21,18,17,26,13,30
"170",694867,13,28,10,15,19,16,23,26,13,NA
"171",695909,17,30,31,30,31,29,31,31,31,30
"172",696928,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"173",704155,15,20,20,16,9,23,31,31,NA,NA
"174",708275,17,30,31,30,24,1,NA,NA,NA,NA
"175",709208,16,28,16,19,15,29,15,2,2,NA
"176",710156,17,30,31,30,31,29,31,31,31,30
"177",716292,17,25,26,20,31,17,31,1,17,30
"178",717313,17,27,25,28,27,29,29,21,31,20
"179",721057,15,30,31,9,NA,NA,NA,NA,NA,NA
"180",721377,17,11,30,25,14,30,31,18,15,30
"181",723088,8,25,28,22,10,14,12,7,20,NA
"182",724700,17,30,6,19,30,18,27,31,NA,NA
"183",727588,10,29,14,19,26,24,31,NA,NA,11
"184",728978,17,30,31,30,31,23,31,4,NA,30
"185",730347,9,21,20,20,17,23,29,NA,2,13
"186",730502,12,26,24,17,25,19,19,15,15,8
"187",733365,16,30,21,27,31,25,15,NA,31,4
"188",734053,2,30,30,29,3,25,30,4,20,30
"189",745664,15,21,23,23,16,23,18,21,17,23
"190",745744,NA,NA,NA,NA,NA,16,19,NA,NA,NA
"191",747873,12,27,25,28,29,25,30,2,13,10
"192",748854,15,1,26,21,31,15,NA,NA,31,10
"193",749957,15,30,26,23,30,22,31,31,31,30
"194",750257,17,30,31,30,31,29,31,31,31,30
"195",751527,15,28,25,24,12,11,22,11,NA,15
"196",751530,16,29,26,25,24,22,25,20,31,25
"197",752424,1,NA,NA,1,NA,1,NA,25,NA,NA
"198",752515,17,30,31,30,31,29,31,31,31,30
"199",752883,7,NA,NA,7,NA,7,NA,NA,NA,NA
"200",754678,11,27,22,22,26,23,26,14,19,20
"201",755587,15,29,26,25,26,27,30,20,31,23
"202",758670,17,30,31,30,29,30,15,NA,31,NA
"203",760482,17,30,31,30,31,29,31,31,31,30
"204",761098,2,4,NA,6,6,1,6,NA,NA,5
"205",761159,17,29,28,28,27,24,30,25,2,24
"206",763214,15,29,24,24,11,24,22,5,5,3
"207",766160,8,21,23,28,23,22,29,6,11,10
"208",768311,NA,NA,NA,21,31,21,20,2,31,4
"209",772646,11,21,2,14,9,26,5,31,9,NA
"210",777913,17,27,29,27,29,6,NA,NA,21,NA
"211",780397,16,29,31,30,31,29,31,31,31,30
"212",780684,7,4,NA,NA,NA,NA,NA,NA,NA,NA
"213",780743,17,9,NA,1,NA,NA,NA,NA,NA,NA
"214",783647,17,NA,31,21,NA,24,31,31,NA,30
"215",793618,12,16,21,21,13,21,29,13,13,9
"216",793622,17,30,31,30,NA,28,30,31,NA,30
"217",797030,14,28,31,26,27,25,25,29,21,27
"218",804681,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"219",814586,10,9,NA,17,23,17,10,NA,13,11
"220",814647,NA,NA,NA,NA,NA,23,31,31,NA,30
"221",814731,8,18,17,11,6,15,NA,NA,9,NA
"222",814870,17,30,31,26,31,30,31,31,28,24
"223",815818,16,24,NA,25,12,20,12,31,NA,30
"224",817184,11,21,19,24,13,24,22,3,30,NA
"225",817848,12,24,30,30,24,23,27,15,NA,11
"226",819738,NA,NA,NA,NA,NA,14,22,7,NA,1
"227",821860,12,26,26,26,11,24,31,31,15,29
"228",833871,17,25,24,26,8,14,29,NA,NA,NA
"229",834562,14,17,13,18,16,21,23,27,17,30
"230",834675,1,NA,NA,3,NA,1,NA,26,NA,NA
"231",835333,15,24,28,27,26,21,25,16,29,21
"232",838698,16,28,30,28,30,26,31,23,30,29
"233",838712,17,30,31,30,31,30,31,31,30,30
"234",840561,17,30,31,30,31,29,31,31,31,30
"235",842078,17,30,31,30,30,29,31,2,NA,30
"236",844856,10,6,NA,9,NA,18,4,NA,NA,NA
"237",846558,17,NA,31,29,31,27,NA,31,31,30
"238",847273,10,22,14,18,17,20,24,26,NA,4
"239",848480,17,29,28,28,30,22,26,21,30,24
"240",851311,17,30,31,9,NA,NA,NA,NA,NA,NA
"241",853804,7,8,13,19,1,23,6,9,NA,30
"242",862462,15,22,21,24,19,21,29,14,14,12
"243",862752,17,30,31,30,31,27,31,31,31,30
"244",864488,16,28,29,28,28,27,29,25,27,28
"245",867629,NA,NA,NA,21,31,NA,NA,NA,NA,NA
"246",869674,17,30,31,30,31,29,31,31,31,30
